Trial,Parameter,0,1,2,3,4,5,6,7,8,9,10,,,,,95%,358.2892783,99.5%,58.23595915
28,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5668.970873,7347.041546,6891.663302,8214.409741,9142.583051,9168.160949,7379.311839,6079.297365,8282.4104,12830.41492,,,,,,388.9039452,,101.1390472
29,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5491.998666,5662.717434,6420.024945,6053.692791,5264.389797,6591.677514,7990.557122,8434.78961,9039.006675,11524.87356,,,,,,390.4545659,,102.7462124
30,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4775.084375,4933.51957,5063.264022,5500.324347,6504.840431,4040.423184,3774.265071,3997.096435,3787.276296,2504.874158,,,,,,392.3747401,,103.9693259
31,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4664.515367,5152.01487,4469.151101,2653.923093,2280.075858,3002.380753,3374.602354,2362.250062,2987.645553,2883.639062,,,,,,392.5270195,,106.2024983
32,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5164.382898,5514.000111,5659.902282,6481.290686,7063.613636,6637.879143,5991.884011,8669.751192,7500.943793,8110.198954,,,,,,392.6084011,,106.6938293
33,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5237.900217,3912.261956,3886.281683,2251.07586,1315.533515,1728.208774,904.7692621,1410.208272,755.66381,1110.490621,,,,,,394.2498404,,107.7053901
34,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5139.919537,3833.473764,4151.369512,5031.797731,3767.388283,3677.214872,4120.709102,2499.483221,2742.377897,2346.391949,,,,,,395.5211355,,108.5266756
35,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5531.460653,6061.75157,3959.950957,3598.277003,5458.734774,5223.699861,6304.05916,5605.16215,6297.573058,7729.927405,,,,,,398.0448454,,108.8214001
36,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5271.748386,5311.560901,7208.147558,7783.719145,6764.278854,7625.140675,7119.380648,5738.715408,4688.538227,2776.302185,,,,,,399.4008505,,112.7910675
37,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5552.931142,3836.517693,4083.443357,6658.831106,7592.375547,6676.312782,4936.515333,6183.931554,6908.499347,7026.838626,,,,,,401.2540232,,112.9988836
38,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4331.218555,6627.948562,6885.060323,5034.181303,5029.590191,6703.018597,6768.29961,6098.996772,5906.568791,6468.180349,,,,,,401.4378836,,114.4801631
39,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4526.0257,4462.453102,3771.911404,2949.428866,2411.140526,2929.731918,3013.245268,2420.130444,2157.250737,1075.355856,,,,,,402.1720154,,114.6402966
40,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5709.585655,3891.021024,3109.239971,3757.533439,4336.061516,3124.979645,2505.843079,3379.41692,3593.28015,4433.727796,,,,,,402.6101326,,117.3546073
41,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5218.885472,5987.390365,7437.010598,5200.933576,3244.998383,6543.748497,6123.98464,5152.496612,4109.526385,3818.514955,,,,,,405.4737899,,117.4498464
42,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4982.321732,4494.454125,4129.888783,5006.432135,5534.27676,4944.136314,5848.932212,6946.068285,8081.779361,8543.17854,,,,,,405.5044361,,119.1559563
43,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5301.344787,5490.476777,6400.547745,5840.035467,6904.176698,13530.90548,16706.76928,16216.98339,13263.04297,10681.37073,,,,,,408.2630254,,120.4489493
44,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5406.522705,5562.552311,5135.355234,5582.894781,5771.542737,4406.620242,2266.749377,3565.066014,6464.048267,8786.540508,,,,,,409.2668179,,120.9562331
45,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4062.316473,4967.978638,3633.286587,2607.465884,2926.965987,1158.084317,2390.759471,535.1460394,174.2264633,170.2818504,,,,,,410.3211565,,123.4906786
46,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,2955.266278,2458.239517,3468.44879,3682.38898,3541.476145,4160.979429,3730.896552,4444.656165,5591.110729,4341.707016,,,,,,410.5984133,,124.2101144
47,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5884.736157,5707.223841,7372.880969,8797.36742,8718.237584,6257.552268,6428.877813,7863.096994,9027.910702,10125.49129,,,,,,412.3098842,,127.7373126
48,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,2761.659719,3051.566778,1840.456671,1439.334976,1538.987914,2025.181827,2181.447932,2113.185592,2150.514936,2126.867437,,,,,,412.870226,,133.8538087
49,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4944.300659,4885.695826,3174.133472,4798.234109,5011.712446,5247.063089,6033.076595,8982.840048,10929.50951,15248.72698,,,,,,414.4536951,,134.5127151
50,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,6688.837022,7332.80037,9275.105042,5331.209911,5917.005649,7612.408214,6785.134126,4607.396266,4059.314298,2062.498351,,,,,,414.6825951,,134.8480039
51,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4405.844283,4715.836265,4191.95681,3776.334111,5163.844432,5162.277198,5886.409293,5941.355342,8830.603224,7620.762202,,,,,,416.2356906,,135.4839921
52,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5999.305163,4425.474122,5472.763215,5894.605177,4377.502446,4529.879246,4390.521504,4526.101478,2896.360145,4366.02591,,,,,,417.8923514,,135.4918469
53,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4457.190226,4269.598011,3290.251319,3414.21348,4808.550543,3537.964225,1845.81151,1244.331254,521.5951759,272.2526324,,,,,,418.5389744,,135.783244
54,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,6141.670135,6769.713032,7751.933503,8271.476089,8316.979797,9834.040096,9046.613194,7591.373633,8546.356135,9907.762452,,,,,,420.7175868,,136.8939178
55,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5670.797915,4964.165495,4066.075645,4945.453032,4883.020005,3714.612199,3126.298783,3428.641141,4507.222555,3479.467812,,,,,,423.1188312,,138.2416188
56,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4270.694281,5394.241498,4654.847549,2075.481387,2460.560889,3294.626279,4024.146695,3998.909079,3409.564897,3902.538187,,,,,,423.2785554,,138.3420242
57,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5454.545406,5893.321852,6014.454715,6114.065765,2690.77595,2104.338728,2177.963184,1623.381443,1018.782018,727.2032638,,,,,,423.653746,,138.4231213
58,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4523.293295,4887.40073,5583.054825,5745.708252,6618.143616,6988.368667,7119.930055,8125.23958,9627.343952,10595.70553,,,,,,425.3430807,,139.5607716
59,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5268.082648,5459.790072,4566.172439,5506.271577,8608.92277,7004.333455,5907.333878,6787.059712,6372.29127,7851.624013,,,,,,425.8024536,,140.1537556
60,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5161.451809,5220.262728,7739.458131,7584.465689,6466.744978,8435.415028,9658.072355,9350.555966,10077.13238,10824.38152,,,,,,426.8379175,,140.5327147
61,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,6512.185774,6848.118858,8632.347458,7531.01304,9202.575358,6962.928524,9876.441751,9619.158238,10615.25905,7440.522735,,,,,,427.5736765,,142.5954404
62,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4004.930204,4221.382503,3223.829865,3624.948565,3249.552546,4301.447237,3819.423167,4431.16244,3521.531124,2733.608996,,,,,,428.4199475,,143.5408704
63,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4915.374853,5302.106556,5820.380552,6530.369923,7208.436282,7635.615156,8213.648152,8038.60871,4052.134981,3580.581118,,,,,,428.5755657,,143.8452216
64,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5065.360279,4922.58513,4864.601455,3947.83785,2596.650563,2177.829879,1894.836647,2613.922278,3559.587918,4054.672392,,,,,,429.0717024,,146.7616977
65,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4948.649583,4726.751681,5397.187034,4853.227009,5822.797288,6319.424936,4084.76971,4215.079066,4250.515909,2831.432243,,,,,,429.5568618,,151.1082162
66,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5460.744338,6141.353301,5061.490342,6416.404759,5877.940413,4522.234577,7862.437958,8579.416378,8854.894058,11238.88201,,,,,,432.030207,,151.2968002
67,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5944.066289,5081.94159,5485.624442,6398.893885,6939.951587,7381.035298,7483.674483,6947.308864,5646.206391,8261.20317,,,,,,432.4903063,,151.6200112
68,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4305.504696,4195.426935,4058.3319,1874.095199,1283.7746,777.5269893,802.7096685,718.5597359,894.4992815,764.1470218,,,,,,436.8470491,,151.8162401
69,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5224.407061,5465.979642,5710.027395,6581.481005,7841.104959,8366.819575,7859.582581,9022.392026,8785.918935,8481.310288,,,,,,437.4786234,,151.9797879
70,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5081.858049,5285.7736,5582.578097,4606.75237,2138.526675,2111.965149,2442.92726,1582.81705,2725.564905,2606.671832,,,,,,441.8087786,,152.3770543
71,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5041.825202,5466.742195,4286.05863,4261.842276,4512.393059,4253.972658,4958.295236,5568.665444,6832.303849,7076.503732,,,,,,441.9133552,,152.8446435
72,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5350.920703,5297.890879,4952.446981,5114.199471,4607.870512,5606.491567,4820.595636,4420.718517,2619.863233,2701.720062,,,,,,443.3514834,,153.0228808
73,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5100.850652,5927.052731,5926.657754,6012.296016,6802.012912,5525.724747,4933.445712,5309.770625,8390.402546,10011.17246,,,,,,445.2819841,,153.2863294
74,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5131.48462,4798.470844,4954.531411,5282.747317,5142.204616,7047.693397,7851.497997,7705.526646,6345.871197,5388.007199,,,,,,445.7538214,,155.1798198
75,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4943.37274,5356.547122,6326.67834,6589.18978,7000.037381,7067.507153,8739.350684,8813.730825,10269.10613,9344.52142,,,,,,446.1532577,,155.8860842
76,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,3457.450764,3087.431116,2185.141621,2155.079069,2049.742935,2323.460214,2346.391733,2211.195546,1443.932244,2169.735002,,,,,,447.7794853,,157.7115121
77,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5073.414893,5555.842377,4768.192328,4556.431486,4325.237859,5556.634775,5793.267042,5950.862872,6101.792989,5404.79559,,,,,,447.9084519,,159.1744801
78,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5203.556502,5021.058122,7944.087223,9624.324903,11193.34857,5834.181849,5751.255331,5497.191016,6021.627879,7283.046305,,,,,,449.0656748,,162.9002942
79,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5511.765815,5473.384595,3563.197813,2232.694056,1063.558135,1351.672756,1910.151787,2111.623464,1971.619039,1156.867302,,,,,,454.9648473,,164.4665784
80,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4905.655298,5550.322834,7006.461503,7938.327091,9712.978255,9053.543544,7496.122395,6893.281489,7870.552657,11710.31857,,,,,,457.5243611,,164.767433
81,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,6143.15585,5562.471862,5389.213214,4496.950177,5940.608937,5974.961559,6357.114512,7814.575986,7389.354637,5630.005132,,,,,,459.2371234,,165.1512168
82,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4754.311432,5011.757483,5288.214966,6292.474752,5569.086249,4870.826194,4357.116952,2581.384307,3710.052032,6128.611393,,,,,,461.0468014,,166.1818744
83,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5493.839602,5947.355284,6451.558973,4388.254487,3880.677578,4709.420275,3627.474479,3348.621852,2643.411403,2927.895323,,,,,,461.0815241,,166.2511141
84,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4659.458555,3712.906464,3688.876881,3637.629802,3126.322435,3101.754722,3546.006375,3827.820187,4663.796467,4588.950959,,,,,,461.2553608,,167.6173823
85,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5347.559662,5840.817346,5511.228171,5719.253928,5850.431015,3406.278794,4299.696128,4638.882436,5329.182082,6310.28485,,,,,,462.2679366,,167.8758499
86,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4204.882614,3295.816743,4096.675512,5099.835172,4395.788091,5310.536303,4450.602844,4279.747659,3226.144271,1223.485396,,,,,,464.5378089,,168.4477496
87,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5189.821269,4443.089061,4560.136461,4604.054011,3090.448964,1745.333621,2266.761521,3756.82704,3799.791284,4826.006007,,,,,,464.6855189,,169.6628254
88,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5236.764163,6371.474981,6789.52461,7460.739603,8796.356668,10065.09888,10169.85371,8269.941913,8674.508195,8109.738728,,,,,,466.4423298,,170.2818504
89,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,6166.227106,6237.243318,6189.07201,4324.332408,3676.275638,3486.366433,4371.824326,7092.583153,7428.002182,7340.254106,,,,,,470.7254675,,170.5306575
90,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4434.505327,5366.296079,5889.232751,6997.822174,7498.031585,8006.941293,7077.372914,1852.825744,2163.477839,2597.831202,,,,,,470.87987,,170.843345
91,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4674.390383,2793.083365,3522.210831,3685.678858,2655.926419,3957.7259,4919.726384,3884.750708,6010.625159,8380.775277,,,,,,473.0046795,,171.8624222
92,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5472.352422,6369.997063,7137.521875,7379.48153,4184.482322,4461.606985,4417.546213,5371.956865,4037.070648,5034.903991,,,,,,473.0502953,,172.0937902
93,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5228.351292,4349.444133,4145.654857,3043.098619,2112.921772,2215.337624,1717.18153,2565.124352,2432.862488,2620.346012,,,,,,474.8073514,,172.5057788
94,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5237.164931,6764.160063,7635.090707,8763.357868,8882.686983,8730.476414,10256.25496,4201.977694,5515.08841,6026.711542,,,,,,476.9045641,,174.957326
95,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,5600.910835,5049.097254,5653.712947,5643.601044,6054.616826,7734.953828,7385.483489,7382.664476,6613.127573,2719.275123,,,,,,479.9245952,,180.8844501
96,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,3738.490725,3037.129556,2605.876928,2980.880845,2858.655849,1749.219175,2156.780982,2423.953478,2815.307404,3825.191689,,,,,,481.5824741,,181.8596177
97,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,6104.192256,6573.263151,5745.935834,6979.80846,5742.219579,4923.852967,6018.070329,9837.059236,13798.85269,10876.86907,,,,,,483.1433232,,188.9040007
98,ESG.Assets.EquityAssets.E_GBP.TotalReturnIndex,5000,4386.900072,4504.178838,6441.353068,5230.213641,7463.365922,8965.478234,8598.028054,6912.445558,5274.243739,6029.971178,,,,,,485.2095278,,189.5899622
