Trial,Timestep,"ESG.Economies.GBP.RealSpotRate(Govt, 10, 1)"
43,6,-0.0064301007042209,
43,7,-0.0139967992918494,
43,8,-0.00219682530376619,
43,9,-0.000925309429294918,
43,10,-0.00300484951926905,
44,0,-0.0197968096029223,
44,1,-0.00542388246265102,
44,2,-0.00351103281139542,
44,3,-0.0163368346904363,
44,4,-0.0126502020168199,
44,5,-0.0103844960391445,
44,6,-0.0164893905738636,
44,7,-0.0081984099986574,
44,8,-0.0194084611212604,
44,9,-0.0202938596215891,
44,10,-0.0179995729257523,
45,0,-0.0197968096029223,
45,1,-0.0148253716836451,
45,2,-0.00595825439796926,
45,3,0.000372412738226968,
45,4,0.00252526576346934,
45,5,3.71725282739543E-05,
45,6,0.00501219913729489,
45,7,0.0137012960109622,
45,8,0.0160381991519398,
45,9,0.0191830132393829,
45,10,0.0168186775901027,
46,0,-0.0197968096029223,
46,1,-0.0193693927858856,
46,2,-0.0242525787648865,
46,3,-0.0276496188016471,
46,4,-0.0277388023086103,
46,5,-0.0238799388779872,
46,6,-0.0276868897684266,
46,7,-0.0352981237599389,
46,8,-0.0370073178447942,
46,9,-0.0396233097157372,
46,10,-0.0371442960868746,
47,0,-0.0197968096029223,
47,1,-0.0342192061791572,
47,2,-0.0270596157288826,
47,3,-0.0214943583509801,
47,4,-0.00991509728673956,
47,5,-0.00803058370777487,
47,6,-0.00897651115703113,
47,7,-0.0164233618159381,
47,8,-0.0166664140771911,
47,9,-0.0241962228460973,
47,10,-0.0222530160275298,
48,0,-0.0197968096029223,
48,1,0.000322640664379925,
48,2,-0.00309033775192458,
48,3,-0.00592039998147176,
48,4,-0.01552239314434,
48,5,-0.0159410865495706,
48,6,-0.0139622842797268,
48,7,-0.00575155585816844,
48,8,-0.00497922111014071,
48,9,0.00307011713319638,
48,10,0.00133232790478033,
49,0,-0.0197968096029223,
49,1,-0.0139196437599809,
49,2,-0.0061945160204554,
49,3,-0.0131712350025441,
49,4,-0.00936154849383497,
