Trial,Parameter,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,"ESG.Portfolios.AssetPortfolios.P_EUR.TotalReturnIndex",1,1.02433024291676,1.10640195008257,1.18371872497298,1.17628973877913,1.13932519421184,1.24877239373474,1.2400247962465,1.24537006686365,1.13869493613317,1.23738596121627,1.39120303413012,1.51778104346083,1.64082177677402,1.66310107920124,1.89815782043081,2.07155450624212,2.22235157393752,2.1363126000735,2.21462431447744,2.54740751204779,2.47485121933917,2.54788054520696,2.6779769492554,2.53213280393217,2.44419752816255,2.48923307472119,2.61094788548112,2.89379637462828,3.0057115216854,3.25982204978532,
2,"ESG.Portfolios.AssetPortfolios.P_EUR.TotalReturnIndex",1,1.0114663600135,0.974748601209226,0.980653386198081,1.01731358976714,1.13578792237066,1.11944786058016,1.2246495854449,1.31266747860806,1.55157300400303,1.56877839910371,1.56944872993831,1.59112075687125,1.6203237468319,1.72573765591867,1.65909076276922,1.71875038766508,1.75452056934656,2.0129908429356,2.1201195055207,2.022163835489,2.20633962624832,2.40185056165861,2.48263470635936,2.95957547427733,3.32217639724062,3.55794326738866,3.71514346389536,3.67424330060513,3.76726982164256,3.91282168549972,
3,"ESG.Portfolios.AssetPortfolios.P_EUR.TotalReturnIndex",1,1.0079443872949,0.972851936305464,0.982276906376495,0.995199687737071,1.1658135585113,1.34429808876265,1.29917014476816,1.26232775624553,1.21088445843713,1.17979081620356,1.31067492641901,1.25070295816434,1.44795302263844,1.53126934514237,1.58107049331655,1.7571641063025,1.6896099696946,1.87085650924801,2.19545763777388,2.2462253724432,2.32594464777536,2.63665792806467,2.65252543516244,2.92174091144992,2.92998967947489,3.09258311337868,3.3019391465216,3.56568446679165,4.19670327191143,4.48196890835917,
4,"ESG.Portfolios.AssetPortfolios.P_EUR.TotalReturnIndex",1,1.01353057916101,1.11234914084806,1.1055321524568,1.09684208591579,1.04958022062207,0.923522149900148,1.09144579232075,1.29929165789121,1.49542329794682,1.65880553618177,1.67540939768034,1.82684696319301,1.82206296267336,1.89655865047088,1.97658399008762,1.94012574472457,2.06014991975519,2.06750468053096,1.99541525054168,2.1394746222464,2.27390182490669,2.30423897021636,2.65693261041477,2.69827414998745,2.91717171005734,3.05303473324002,3.17677474557466,3.12749353254216,2.95109712224333,3.03834415366534,
5,"ESG.Portfolios.AssetPortfolios.P_EUR.TotalReturnIndex",1,1.07881782124595,1.05794765212468,1.02662474673476,1.10294988763342,1.19044391246444,1.28656018871708,1.24073083706729,1.43242144707367,1.43819418374314,1.42740975618762,1.50519794541878,1.53930847251276,1.5379552904103,1.70917733731555,1.55609827379944,1.54430223551785,1.39246120167283,1.35627901103074,1.4230627419522,1.31025633387951,1.3463598916272,1.53691175199284,1.90173531503269,2.26407930698094,2.61068872844131,2.60167853709802,2.59077987703828,2.69940992359121,2.62171868174806,3.24855337246244,
6,"ESG.Portfolios.AssetPortfolios.P_EUR.TotalReturnIndex",1,0.926578295686194,0.990971255440904,1.06973251618252,1.05301905607662,1.06181447241982,1.02429808009853,1.14611114115869,1.07791587231078,1.22582949029101,1.407799053587,1.49043005269451,1.55702926112419,1.68647065621836,1.6794919734832,2.03823015254673,2.2891387806322,2.69247339642718,2.95717882699631,3.0808885323006,3.37600732334664,3.59122415829817,3.56111010752418,3.39386925420115,3.22527731252543,2.98450318054954,3.18429236066698,3.38580666339722,3.55757536114621,4.11380574967682,3.79041344781158,
7,"ESG.Portfolios.AssetPortfolios.P_EUR.TotalReturnIndex",1,1.10061321945077,1.12130940933915,1.24312008815779,1.41049419665419,1.32734279898882,1.49936740665224,1.54684496015151,1.55825069935797,1.46566757614571,1.53504370961519,1.65740851480963,1.74562399063563,1.928808061697,2.15900255287375,2.29587209549101,2.36617859359986,2.4802030233581,2.69468984137115,3.09703236359653,3.35232317311942,3.4181298862362,3.43350392763609,3.61111130253096,3.56237783319576,3.84914866902003,4.02635161546415,3.88104849318109,3.61406732764654,3.92800338189643,3.97520531066027,
8,"ESG.Portfolios.AssetPortfolios.P_EUR.TotalReturnIndex",1,0.944148498637249,0.97026518636343,0.905902647147057,0.837010633214899,1.01002583513746,1.01131810097625,1.05637208656793,1.16119121260057,1.3609303945414,1.43249539699463,1.45321143800012,1.54245664425729,1.54191686506522,1.50930885943542,1.48849648157628,1.50801015789172,1.64900650785845,1.55000907083435,1.36850901176052,1.40138685496155,1.62448278650462,1.89606028767415,1.97934128075035,2.16610652423295,2.01117821208361,1.990238357176,2.48538109993253,2.88839493665376,2.80153856732996,2.68624124754501,
9,"ESG.Portfolios.AssetPortfolios.P_EUR.TotalReturnIndex",1,0.97209818152675,1.12811307600081,1.18769101208932,1.14919321505889,1.20851802691979,1.22005017549314,1.12163386872152,1.18520105501554,1.30692647043681,1.52433617777076,1.51052972224242,1.66424523567405,1.656115954657,1.71481633740756,1.80897202971723,2.09920653614646,2.09671173148245,2.17956119027294,2.34314487862352,2.38373006935028,2.3454927756778,2.65662292248024,2.73900336611209,2.78641913166812,3.05409499176512,3.20082102424656,3.19581720244633,3.81006580889753,4.0338007750957,4.3521608624523,
10,"ESG.Portfolios.AssetPortfolios.P_EUR.TotalReturnIndex",1,1.08132368804229,0.95261923577319,0.945285663888513,1.07472544779458,1.11300943004405,1.19736550520744,1.41365140274354,1.44528927503001,1.47130332872755,1.38670532421107,1.56652918808828,1.5148219807602,1.73938879220046,1.87686726497038,1.94248940040236,1.85478012894489,1.97944775586634,2.10232288809718,2.13668180295385,2.29984175357846,2.55551049608217,2.43885550006982,2.57558644572721,2.75479017185894,2.75031007163604,2.9611654820982,3.22633014274621,2.89517775431327,2.97322541224432,2.98824047902019,
