Trial,Timestep,"ESG.Assets.EquityAssets.E_GBP.Sigma.StandardisedVolatility"
16,1,0.156683726971814,
16,2,0.203416301250224,
16,3,0.150759218747356,
16,4,0.0698575708291257,
16,5,0.0806083365826931,
16,6,0.222150549619807,
16,7,0.171903887412642,
16,8,0.171649507197927,
16,9,0.212748877621814,
16,10,0.177258854085967,
17,0,0.109142808879906,
17,1,0.183213884883852,
17,2,0.109772018333242,
17,3,0.129899019915327,
17,4,0.195146763774523,
17,5,0.199076424419342,
17,6,0.110604849145915,
17,7,0.15532659509088,
17,8,0.151144125427444,
17,9,0.155785729253616,
17,10,0.170274762922983,
18,0,0.109142808879906,
18,1,0.0724898907184789,
18,2,0.195377986068137,
18,3,0.237327811384849,
18,4,0.186683549518131,
18,5,0.205820772473862,
18,6,0.28094592090171,
18,7,0.267983814987126,
18,8,0.239938294428872,
18,9,0.250034711189701,
18,10,0.29583934027724,
19,0,0.109142808879906,
19,1,0.14032611690625,
19,2,0.199641256008032,
19,3,0.186074386494587,
19,4,0.140714350736235,
19,5,0.114747834126397,
19,6,0.0536950107596544,
19,7,0.0702393337131991,
19,8,0.110946859937164,
19,9,0.114853373033046,
19,10,0.154178543449196,
20,0,0.109142808879906,
20,1,0.082957006842406,
20,2,0.0998970169221944,
20,3,0.154461604839722,
20,4,0.253872426298272,
20,5,0.321001420944742,
20,6,0.43935430329711,
20,7,0.549238516256617,
20,8,0.523354515527734,
20,9,0.566673682746364,
20,10,0.504844645896474,
21,0,0.109142808879906,
21,1,0.171433543288456,
21,2,0.185783359987465,
21,3,0.234584002039301,
21,4,0.317806217489529,
21,5,0.273923333208803,
21,6,0.273272797293952,
21,7,0.364067814737745,
21,8,0.419069588293194,
21,9,0.383284092635623,
21,10,0.178273211153028,
22,0,0.109142808879906,
22,1,0.0759214927327985,
22,2,0.122293384844713,
22,3,0.161979473418496,
22,4,0.108377866415083,
22,5,0.152796470657052,
22,6,0.182502436340431,
22,7,0.109983487747973,
22,8,0.0898770409401789,
22,9,0.176348718703009,
22,10,0.285491107846744,
23,0,0.109142808879906,
23,1,0.0917117780080792,
23,2,0.097231691010163,
23,3,0.0543622264989492,
23,4,0.089743429920604,
23,5,0.108743340069063,
23,6,0.202241968895418,
23,7,0.257857471221171,
23,8,0.222192100949715,
23,9,0.177728836555077,
23,10,0.0980336310994954,
24,0,0.109142808879906,
24,1,0.150370235303615,
24,2,0.231829772165326,
24,3,0.359848388368728,
24,4,0.421691134497111,
24,5,0.421792690860765,
24,6,0.296478327728681,
24,7,0.228910422144997,
24,8,0.274029754899008,
24,9,0.33221173277602,
24,10,0.364290808647634,
25,0,0.109142808879906,
25,1,0.105516219615748,
25,2,0.0861499004782242,
25,3,0.203266191417323,
25,4,0.290047092795565,
25,5,0.182001757944075,
25,6,0.146097227766762,
25,7,0.200847546186025,
25,8,0.133477625717095,
25,9,0.159768273949869,
25,10,0.112856998256781,
26,0,0.109142808879906,
26,1,0.16167855305178,
26,2,0.239772624498984,
26,3,0.165256924165605,
26,4,0.157951204791179,
26,5,0.214568579732396,
26,6,0.213190659113616,
26,7,0.276430602781358,
26,8,0.305197991163315,
26,9,0.276379213237071,
26,10,0.244825497511667,
27,0,0.109142808879906,
27,1,0.130156350310383,
27,2,0.144300202375949,
27,3,0.150429997968319,
27,4,0.171259304783144,
27,5,0.313758898295187,
27,6,0.283956258479332,
27,7,0.153781487602556,
27,8,0.0906882069650834,
27,9,0.207251488362096,
27,10,0.235822561563538,
28,0,0.109142808879906,
28,1,0.137407987216718,
28,2,0.187751232662395,
28,3,0.108324253022158,
28,4,0.139458500259729,
28,5,0.138721263128997,
28,6,0.118517147652223,
28,7,0.23464896295214,
28,8,0.28815507574036,
28,9,0.334231415964016,
28,10,0.236631289873333,
29,0,0.109142808879906,
29,1,0.102633033946531,
29,2,0.117286542486555,
29,3,0.17500179339793,
29,4,0.232368963932357,
29,5,0.217157613504467,
29,6,0.258318636206408,
29,7,0.229365553633637,
29,8,0.135305258422055,
29,9,0.164782390161754,
29,10,0.157031766669896,
30,0,0.109142808879906,
30,1,0.170501412206169,
30,2,0.169790381838458,
30,3,0.11990838583356,
30,4,0.159592425719661,
30,5,0.173929378895702,
30,6,0.104359521670541,
30,7,0.234293448181107,
30,8,0.283836180947981,
30,9,0.321428794625734,
30,10,0.329606724215193,
31,0,0.109142808879906,
31,1,0.205084972752738,
31,2,0.249217870651745,
31,3,0.275810640077367,
31,4,0.29302871648229,
31,5,0.336437759919166,
31,6,0.327591897004641,
31,7,0.227405312539826,
31,8,0.24107912123782,
31,9,0.286243794219953,
31,10,0.223965752941897,
32,0,0.109142808879906,
32,1,0.0737421655058566,
32,2,0.117157622755927,
32,3,0.100030874938988,
32,4,0.10188565195306,
32,5,0.0693332031392858,
32,6,0.0959535457583573,
32,7,0.236168471340884,
32,8,0.245603006249991,
32,9,0.238727234129389,
32,10,0.259223545591024,
33,0,0.109142808879906,
33,1,0.183022693109189,
